module_id	module_name	category_1	category_2	category_3	note	trophic_included	trophic_level	trophic_class	trophic_guild
MF0001	arabinoxylan degradation	carbohydrate degradation	polysaccharide_degradation	polysaccharide degradation	degradation	yes	1	primary_consumer	trophic_guild_1
MF0002	fructan degradation (Curated)	carbohydrate degradation	polysaccharide_degradation	polysaccharide degradation	degradation	yes	1	primary_consumer	trophic_guild_1
MF0003	pectin degradation I	carbohydrate degradation	polysaccharide_degradation	polysaccharide degradation	degradation	yes	1	primary_consumer	trophic_guild_1
MF0004	pectin degradation II	carbohydrate degradation	polysaccharide_degradation	polysaccharide degradation	degradation	yes	1	primary_consumer	trophic_guild_1
MF0005	starch degradation	carbohydrate degradation	polysaccharide_degradation	polysaccharide degradation	degradation	yes	1	primary_consumer	trophic_guild_1
MF0006	lactose degradation	carbohydrate degradation	simple_carb_degradation	disaccharide degradation	degradation	yes	2	secondary_consumer	trophic_guild_2
MF0007	lactose and galactose degradation	carbohydrate degradation	simple_carb_degradation	disaccharide degradation	degradation	yes	2	secondary_consumer	trophic_guild_2
MF0008	maltose degradation	carbohydrate degradation	simple_carb_degradation	disaccharide degradation	degradation	yes	2	secondary_consumer	trophic_guild_2
MF0009	melibiose degradation	carbohydrate degradation	simple_carb_degradation	disaccharide degradation	degradation	yes	2	secondary_consumer	trophic_guild_2
MF0010	sucrose degradation I	carbohydrate degradation	simple_carb_degradation	disaccharide degradation	degradation	yes	2	secondary_consumer	trophic_guild_2
MF0011	sucrose degradation II	carbohydrate degradation	simple_carb_degradation	disaccharide degradation	degradation	yes	2	secondary_consumer	trophic_guild_2
MF0012	trehalose degradation	carbohydrate degradation	simple_carb_degradation	disaccharide degradation	degradation	yes	2	secondary_consumer	trophic_guild_2
MF0013	allose degradation	carbohydrate degradation	simple_carb_degradation	monosaccharide degradation	degradation	yes	2	secondary_consumer	trophic_guild_2
MF0014	arabinose degradation	carbohydrate degradation	simple_carb_degradation	monosaccharide degradation	degradation	yes	2	secondary_consumer	trophic_guild_2
MF0015	fructose degradation	carbohydrate degradation	simple_carb_degradation	monosaccharide degradation	degradation	yes	2	secondary_consumer	trophic_guild_2
MF0016	fucose degradation	carbohydrate degradation	simple_carb_degradation	monosaccharide degradation	degradation	yes	2	secondary_consumer	trophic_guild_2
MF0017	galactose degradation	carbohydrate degradation	simple_carb_degradation	monosaccharide degradation	degradation	yes	2	secondary_consumer	trophic_guild_2
MF0018	mannose degradation	carbohydrate degradation	simple_carb_degradation	monosaccharide degradation	degradation	yes	2	secondary_consumer	trophic_guild_2
MF0019	rhamnose degradation	carbohydrate degradation	simple_carb_degradation	monosaccharide degradation	degradation	yes	2	secondary_consumer	trophic_guild_2
MF0020	ribose degradation	carbohydrate degradation	simple_carb_degradation	monosaccharide degradation	degradation	yes	2	secondary_consumer	trophic_guild_2
MF0021	xylose degradation	carbohydrate degradation	simple_carb_degradation	monosaccharide degradation	degradation	yes	2	secondary_consumer	trophic_guild_2
MF0022	galacturonate degradation I	carbohydrate degradation	simple_carb_degradation	sugar acid degradation	degradation	yes	2	secondary_consumer	trophic_guild_2
MF0023	galacturonate degradation II	carbohydrate degradation	simple_carb_degradation	sugar acid degradation	degradation	yes	2	secondary_consumer	trophic_guild_2
MF0024	phenylalanine degradation	amino acid degradation	aa_degradation	aromatic amino acid degradation	aa_degradation	no	not_assigned	na	na
MF0025	tryptophan degradation	amino acid degradation	aa_degradation	aromatic amino acid degradation	aa_degradation	no	not_assigned	na	na
MF0026	tyrosine degradation I	amino acid degradation	aa_degradation	aromatic amino acid degradation	aa_degradation	no	not_assigned	na	na
MF0027	tyrosine degradation II	amino acid degradation	aa_degradation	aromatic amino acid degradation	aa_degradation	no	not_assigned	na	na
